Timestep,Area,MPA,Size,MoltM,ProbDoubleMolt,ProbMolt_D1,ProbMolt_D2,ProbMolt_D3,ProbMolt_D4,ProbMolt_D5,ProbMolt_D6,ProbMolt_D7
1,1,1,53,0.05,0,0,0,0,0,0,0,0
1,1,1,54,0.05,0,0,0,0,0,0,0,0
1,1,1,55,0.05,0,0,0,0,0,0,0,0
1,1,1,56,0.05,0,0,0,0,0,0,0,0
1,1,1,57,0.05,0,0,0,0,0,0,0,0
1,1,1,58,0.05,0,0,0,0,0,0,0,0
1,1,1,59,0.05,0,0,0,0,0,0,0,0
1,1,1,60,0.05,0,0,0,0,0,0,0,0
1,1,1,61,0.05,0,0,0,0,0,0,0,0
1,1,1,62,0.05,0,0,0,0,0,0,0,0
1,1,1,63,0.05,0,0,0,0,0,0,0,0
1,1,1,64,0.05,0,0,0,0,0,0,0,0
1,1,1,65,0.05,0,0,0,0,0,0,0,0
1,1,1,66,0.05,0,0,0,0,0,0,0,0
1,1,1,67,0.05,0,0,0,0,0,0,0,0
1,1,1,68,0.05,0,0,0,0,0,0,0,0
1,1,1,69,0.05,0,0,0,0,0,0,0,0
1,1,1,70,0.05,0,0,0,0,0,0,0,0
1,1,1,71,0.05,0,0,0,0,0,0,0,0
1,1,1,72,0.05,0,0,0,0,0,0,0,0
1,1,1,73,0.05,0,0,0,0,0,0,0,0
1,1,1,74,0.05,0,0,0,0,0,0,0,0
1,1,1,75,0.05,0,0,0,0,0,0,0,0
1,1,1,76,0.05,0,0,0,0,0,0,0,0
1,1,1,77,0.05,0,0,0,0,0,0,0,0
1,1,1,78,0.05,0,0,0,0,0,0,0,0
1,1,1,79,0.05,0,0,0,0,0,0,0,0
1,1,1,80,0.05,0,0,0,0,0,0,0,0
1,1,1,81,0.05,0,0,0,0,0,0,0,0
1,1,1,82,0.05,0,0,0,0,0,0,0,0
1,1,1,83,0.05,0,0,0,0,0,0,0,0
1,1,1,84,0.05,0,0,0,0,0,0,0,0
1,1,1,85,0.05,0,0,0,0,0,0,0,0
1,1,1,86,0.05,0,0,0,0,0,0,0,0
1,1,1,87,0.05,0,0,0,0,0,0,0,0
1,1,1,88,0.05,0,0,0,0,0,0,0,0
1,1,1,89,0.05,0,0,0,0,0,0,0,0
1,1,1,90,0.05,0,0,0,0,0,0,0,0
1,1,1,91,0.05,0,0,0,0,0,0,0,0
1,1,1,92,0.05,0,0,0,0,0,0,0,0
1,1,1,93,0.05,0,0,0,0,0,0,0,0
1,1,1,94,0.05,0,0,0,0,0,0,0,0
1,1,1,95,0.05,0,0,0,0,0,0,0,0
1,1,1,96,0.05,0,0,0,0,0,0,0,0
1,1,1,97,0.05,0,0,0,0,0,0,0,0
1,1,1,98,0.05,0,0,0,0,0,0,0,0
1,1,1,99,0.05,0,0,0,0,0,0,0,0
1,1,1,100,0.05,0,0,0,0,0,0,0,0
1,1,1,101,0.05,0,0,0,0,0,0,0,0
1,1,1,102,0.05,0,0,0,0,0,0,0,0
1,1,1,103,0.05,0,0,0,0,0,0,0,0
1,1,1,104,0.05,0,0,0,0,0,0,0,0
1,1,1,105,0.05,0,0,0,0,0,0,0,0
1,1,1,106,0.05,0,0,0,0,0,0,0,0
1,1,1,107,0.05,0,0,0,0,0,0,0,0
1,1,1,108,0.05,0,0,0,0,0,0,0,0
1,1,1,109,0.05,0,0,0,0,0,0,0,0
1,1,1,110,0.05,0,0,0,0,0,0,0,0
1,1,1,111,0.05,0,0,0,0,0,0,0,0
1,1,1,112,0.05,0,0,0,0,0,0,0,0
1,1,1,113,0.05,0,0,0,0,0,0,0,0
1,1,1,114,0.05,0,0,0,0,0,0,0,0
1,1,1,115,0.05,0,0,0,0,0,0,0,0
1,1,1,116,0.05,0,0,0,0,0,0,0,0
1,1,1,117,0.05,0,0,0,0,0,0,0,0
1,1,1,118,0.05,0,0,0,0,0,0,0,0
1,1,1,119,0.05,0,0,0,0,0,0,0,0
1,1,1,120,0.05,0,0,0,0,0,0,0,0
1,1,1,121,0.05,0,0,0,0,0,0,0,0
1,1,1,122,0.05,0,0,0,0,0,0,0,0
1,1,1,123,0.05,0,0,0,0,0,0,0,0
1,1,1,124,0.05,0,0,0,0,0,0,0,0
1,1,1,125,0.05,0,0,0,0,0,0,0,0
1,1,1,126,0.05,0,0,0,0,0,0,0,0
1,1,1,127,0.05,0,0,0,0,0,0,0,0
1,1,1,128,0.05,0,0,0,0,0,0,0,0
1,1,1,129,0.05,0,0,0,0,0,0,0,0
1,1,1,130,0.05,0,0,0,0,0,0,0,0
1,1,1,131,0.05,0,0,0,0,0,0,0,0
1,1,1,132,0.05,0,0,0,0,0,0,0,0
1,1,1,133,0.05,0,0,0,0,0,0,0,0
1,1,1,134,0.05,0,0,0,0,0,0,0,0
1,1,1,135,0.05,0,0,0,0,0,0,0,0
1,1,1,136,0.05,0,0,0,0,0,0,0,0
1,1,1,137,0.05,0,0,0,0,0,0,0,0
1,1,1,138,0.05,0,0,0,0,0,0,0,0
1,1,1,139,0.05,0,0,0,0,0,0,0,0
1,1,1,140,0.05,0,0,0,0,0,0,0,0
1,1,1,141,0.05,0,0,0,0,0,0,0,0
1,1,1,142,0.05,0,0,0,0,0,0,0,0
1,1,1,143,0.05,0,0,0,0,0,0,0,0
1,1,1,144,0.05,0,0,0,0,0,0,0,0
1,1,1,145,0.05,0,0,0,0,0,0,0,0
1,1,1,146,0.05,0,0,0,0,0,0,0,0
1,1,1,147,0.05,0,0,0,0,0,0,0,0
1,1,1,148,0.05,0,0,0,0,0,0,0,0
1,1,1,149,0.05,0,0,0,0,0,0,0,0
1,1,1,150,0.05,0,0,0,0,0,0,0,0
1,1,1,151,0.05,0,0,0,0,0,0,0,0
1,1,1,152,0.05,0,0,0,0,0,0,0,0
