Timestep ,Area,Sex,SizeClass,EnRate_1982,EnRate_1983,EnRate_1984,EnRate_1985,EnRate_1986,EnRate_1987,EnRate_1988,EnRate_1989,EnRate_1990,EnRate_1991,EnRate_1992,EnRate_1993,EnRate_1994,EnRate_1995,EnRate_1996,EnRate_1997,EnRate_1998,EnRate_1999,EnRate_2000,EnRate_2001,EnRate_2002,EnRate_2003,EnRate_2004,EnRate_2005,EnRate_2006,EnRate_2007,EnRate_2008,EnRate_2009,EnRate_2010,EnRate_2011,EnRate_2012,EnRate_2013
1,1,0,53,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,58,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,63,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,68,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,73,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,78,0.119814079,0.061310583,0.047105468,0.029517728,0.049251398,0.056969048,0.036695416,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,83,0.617332481,0.357107345,0.270924875,0.19521905,0.310513783,0.350813957,0.238639677,0.198944284,0.218447068,0.24401512,0.302168876,0.409408852,0.244563677,0.158411239,0.195027979,0.205832733,0.230842443,0.187332584,0.127606784,0.15153975,0.134135398,0.130173031,0.174283222,0.165146666,0.196693704,0.123203343,0.16403816,0.146297793,0.115427499,0.120454085,0.14627331,0.124490728
1,1,0,88,0.625827536,0.365144578,0.275900623,0.199819023,0.317228032,0.357180001,0.242429788,0.223973431,0.245880374,0.275310414,0.337359664,0.455508786,0.276918678,0.178627881,0.219330738,0.231958763,0.260211028,0.294987715,0.205016747,0.242120339,0.215583791,0.209428475,0.275851931,0.263509819,0.309790267,0.199468838,0.261862453,0.234569619,0.188023707,0.195755413,0.235610618,0.201727123
1,1,0,93,0.633562464,0.368506294,0.27902359,0.19988235,0.320739845,0.359345846,0.244293339,0.225435723,0.248960294,0.278391593,0.339335846,0.458844297,0.278321426,0.180719014,0.221733655,0.233448251,0.262161971,0.297298778,0.206554391,0.243790255,0.216942353,0.211612654,0.27976344,0.266042892,0.316273585,0.201717786,0.264604066,0.236893413,0.189459694,0.197245236,0.237742608,0.202890265
1,1,0,98,0.64377177,0.375268082,0.283119782,0.203164144,0.328714295,0.364783184,0.246983242,0.226818333,0.253961941,0.285949443,0.342309344,0.467199527,0.281732203,0.182271317,0.224835396,0.237176825,0.265438777,0.300919681,0.208822269,0.249199542,0.219536287,0.215333354,0.286328463,0.271201769,0.322887056,0.204560917,0.267980419,0.240179748,0.191660472,0.199742531,0.241228484,0.204732689
1,1,0,103,0.648828699,0.379802402,0.285871441,0.205021545,0.333188521,0.368062382,0.248064059,0.227744264,0.257332605,0.289424724,0.344299254,0.473896866,0.283102305,0.183479934,0.227542836,0.239175047,0.267909318,0.303255021,0.210782058,0.252460865,0.221691703,0.217392384,0.291041702,0.273984937,0.327816401,0.206805653,0.270478207,0.242728036,0.193322423,0.201537928,0.243279569,0.205864616
1,1,0,108,0.651345184,0.380939405,0.28656167,0.205020881,0.333188747,0.369157633,0.24860646,0.228208158,0.257333064,0.290123745,0.344298894,0.473896367,0.283102944,0.183782985,0.227543383,0.239676094,0.26852973,0.304036025,0.210782322,0.253006509,0.222123898,0.217805164,0.291745515,0.274623169,0.328696176,0.207181283,0.271105062,0.24323918,0.193655784,0.201898535,0.243793253,0.206243257
