,a,b
364,5.554120486,-3.29E-08
365,6.33301888,-7.46E-09
366,6.273608144,-2.24E-08
367,4.330461128,-4.44E-08
368,9.978919173,7.32E-09
369,8.614579202,3.75E-09
370,10.11545413,1.75E-08
371,4.353424046,-4.47E-08
372,7.966254563,-3.07E-09
373,13.89590044,5.64E-08
374,4.550571382,-3.88E-08
375,7.012059834,-2.04E-09
376,7.659964072,1.70E-08
377,10.51200271,3.14E-08
378,9.116437523,1.34E-08
379,7.933893338,1.17E-08
380,10.8447277,3.28E-08
381,3.316362378,-5.56E-08
382,4.751310645,-3.57E-08
383,13.16562258,5.03E-08
384,6.60997485,-5.72E-09
385,6.89967232,-9.61E-09
386,6.054560717,-2.72E-08
387,8.018808615,1.68E-08
388,6.89507588,-1.38E-08
389,5.714641352,-2.49E-08
390,5.759240265,-1.24E-08
391,10.48873494,1.49E-08
392,10.48272596,2.57E-08
393,5.629148487,-2.47E-08
394,8.81465683,1.00E-08
395,7.163552023,-1.56E-08
396,6.203409217,-1.34E-08
397,7.8144796,8.79E-09
398,5.245112306,-3.24E-08
399,7.636076885,-5.59E-10
400,4.847433694,-3.40E-08
401,10.52665245,7.76E-09
402,6.421868674,-2.13E-08
403,5.335031804,-1.11E-08
404,3.062659601,-5.25E-08
405,8.572615775,1.02E-08
406,5.54485277,-2.76E-08
407,8.905183641,1.84E-08
408,6.453553187,-1.48E-08
409,7.231725073,-9.25E-09
410,16.4327207,5.45E-08
411,7.379821237,-8.46E-09
412,2.994371885,-5.19E-08
413,7.487364198,1.03E-08
414,4.460710833,-4.18E-08
415,7.597008027,-1.83E-08
416,3.448474089,-5.98E-08
417,9.664290127,2.67E-08
418,8.177361341,-2.96E-09
419,6.226775805,-1.60E-08
420,7.986100742,-3.84E-09
421,7.792474264,5.42E-09
422,5.196851166,-2.93E-08
423,5.417079194,-1.76E-08
424,7.436930117,3.91E-09
425,7.232352669,-1.60E-08
426,5.729489096,-1.38E-08
427,9.785538145,2.28E-08
428,6.475429903,-1.01E-08
429,4.52006931,-3.69E-08
430,11.70847465,2.22E-08
431,12.32953255,2.41E-08
432,5.611407395,-1.86E-08
433,13.38733626,2.35E-08
434,9.87457251,1.16E-08
435,4.200598029,-4.82E-08
436,6.586914886,-5.98E-09
437,3.439921947,-4.38E-08
438,8.17607552,-6.89E-09
439,4.730347135,-3.93E-08
440,6.595503614,-8.29E-09
441,4.044383692,-4.68E-08
442,4.683036849,-3.56E-08
443,4.932331058,-3.06E-08
444,3.51693659,-4.88E-08
445,8.194005853,-7.76E-09
446,6.510932387,-1.47E-08
447,8.387894875,4.07E-10
448,7.905813928,-5.79E-09
449,12.0322379,1.51E-08
450,10.77925961,7.83E-09
451,5.875669965,-2.32E-08
452,8.182756774,-7.55E-09
453,6.871416445,2.27E-09
454,6.641269426,-1.70E-08
455,10.82102477,4.14E-08
456,8.748503668,-1.64E-09
457,5.558538739,-1.21E-08
458,4.75976885,-2.97E-08
459,14.76161914,6.30E-08
460,5.556748739,-3.75E-08
461,4.86238151,-3.07E-08
462,9.23742975,1.11E-08
463,15.46944928,6.24E-08
464,6.415160635,7.01E-09
465,7.658028841,6.30E-09
466,6.083630224,-1.55E-08
467,5.647925351,-2.93E-08
468,9.281608771,1.07E-08
469,9.33782182,1.48E-08
470,6.946545248,-9.95E-09
471,8.495414479,9.06E-09
472,6.270857964,-1.29E-08
473,14.42417876,3.51E-08
474,12.40490668,3.25E-08
475,6.753871011,8.35E-09
476,13.3061664,4.07E-08
477,7.911667928,-1.17E-08
478,7.788661003,2.29E-09
479,4.053640269,-3.57E-08
480,8.190447939,1.20E-09
481,5.711983773,-2.53E-08
482,8.089511011,-8.51E-09
483,5.944031185,-2.58E-08
484,8.171534489,2.23E-09
485,3.837455051,-3.02E-08
486,9.501962911,3.55E-09
487,5.129261868,-2.67E-08
