"Timestep","Area","Sex","SizeClass","EnRate_1977","EnRate_1978","EnRate_1979","EnRate_1980","EnRate_1981","EnRate_1982","EnRate_1983"
1,1,0,53,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,58,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,63,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,68,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,73,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,78,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0214228446443469,0.0109623769228601
1,1,0,83,0.110379497507736,0.110379497507736,0.110379497507736,0.110379497507736,0.110379497507736,0.110379497507736,0.0638510535417978
1,1,0,88,0.111898419532836,0.111898419532836,0.111898419532836,0.111898419532836,0.111898419532836,0.111898419532836,0.0652881166596424
1,1,0,93,0.113281430296365,0.113281430296365,0.113281430296365,0.113281430296365,0.113281430296365,0.113281430296365,0.065889193930423
1,1,0,98,0.115106861649591,0.115106861649591,0.115106861649591,0.115106861649591,0.115106861649591,0.115106861649591,0.0670982065527377
1,1,0,103,0.116011044240224,0.116011044240224,0.116011044240224,0.116011044240224,0.116011044240224,0.116011044240224,0.0679089462732989
1,1,0,108,0.11646099359221,0.11646099359221,0.11646099359221,0.11646099359221,0.11646099359221,0.11646099359221,0.0681122432383338
1,1,0,113,0.115559738863511,0.115559738863511,0.115559738863511,0.115559738863511,0.115559738863511,0.115559738863511,0.0675031805482047
1,1,0,118,0.115106973042445,0.115106973042445,0.115106973042445,0.115106973042445,0.115106973042445,0.115106973042445,0.0668958906673016
1,1,0,123,0.114652726214943,0.114652726214943,0.114652726214943,0.114652726214943,0.114652726214943,0.114652726214943,0.0666940689870799
1,1,0,128,0.0925658975546089,0.0925658975546089,0.0925658975546089,0.0925658975546089,0.0925658975546089,0.0925658975546089,0.0579741555552625
1,1,0,133,0.0857179944962736,0.0857179944962736,0.0857179944962736,0.0857179944962736,0.0857179944962736,0.0857179944962736,0.05540009109342
1,1,0,138,0.0855811663445644,0.0855811663445644,0.0855811663445644,0.0855811663445644,0.0855811663445644,0.0855811663445644,0.0552971481830264
1,1,0,143,0.085439225743617,0.085439225743617,0.085439225743617,0.085439225743617,0.085439225743617,0.085439225743617,0.0552138517179115
1,1,0,148,0.0853475581859816,0.0853475581859816,0.0853475581859816,0.0853475581859816,0.0853475581859816,0.0853475581859816,0.0551424244027749
1,1,0,153,0.0852083101452089,0.0852083101452089,0.0852083101452089,0.0852083101452089,0.0852083101452089,0.0852083101452089,0.0550502485146676
1,1,0,158,0.0850722311685534,0.0850722311685534,0.0850722311685534,0.0850722311685534,0.0850722311685534,0.0850722311685534,0.0549483110007721
1,1,0,163,0.0849308343006222,0.0849308343006222,0.0849308343006222,0.0849308343006222,0.0849308343006222,0.0849308343006222,0.0548460280438685
1,1,0,168,0.0848406325513614,0.0848406325513614,0.0848406325513614,0.0848406325513614,0.0848406325513614,0.0848406325513614,0.0547868432146321
1,1,0,173,0.0847863617025543,0.0847863617025543,0.0847863617025543,0.0847863617025543,0.0847863617025543,0.0847863617025543,0.0547506221205956
1,1,0,178,0.08476225847031,0.08476225847031,0.08476225847031,0.08476225847031,0.08476225847031,0.08476225847031,0.0547381296712766
1,1,0,183,0.0847592387048015,0.0847592387048015,0.0847592387048015,0.0847592387048015,0.0847592387048015,0.0847592387048015,0.0547370076967034
1,1,0,188,0.084750263087017,0.084750263087017,0.084750263087017,0.084750263087017,0.084750263087017,0.084750263087017,0.0547347219081866
1,1,0,193,0.0847262383482926,0.0847262383482926,0.0847262383482926,0.0847262383482926,0.0847262383482926,0.0847262383482926,0.0547187424870547
1,1,0,198,0.0846812136427726,0.0846812136427726,0.0846812136427726,0.0846812136427726,0.0846812136427726,0.0846812136427726,0.0546894080818882
1,1,0,203,0.0846330931814345,0.0846330931814345,0.0846330931814345,0.0846330931814345,0.0846330931814345,0.0846330931814345,0.0546564177382201
1,1,0,208,0.0845909469888473,0.0845909469888473,0.0845909469888473,0.0845909469888473,0.0845909469888473,0.0845909469888473,0.0546288829623889
1,1,0,213,0.0845698343775927,0.0845698343775927,0.0845698343775927,0.0845698343775927,0.0845698343775927,0.0845698343775927,0.0546142459771288
1,1,0,218,0.0845606810318838,0.0845606810318838,0.0845606810318838,0.0845606810318838,0.0845606810318838,0.0845606810318838,0.0546099785401348
1,1,0,223,0.0845607945703466,0.0845607945703466,0.0845607945703466,0.0845607945703466,0.0845607945703466,0.0845607945703466,0.0546121175332533
1,1,1,53,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00728648068397014
1,1,1,58,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00728648068397014
1,1,1,63,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00728648068397014
1,1,1,68,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00720155373500936,0.00728648068397014
